[I 231020 09:17:35 metar-display-v4:555] Start of metar-display-v4.py executed code main loop
[I 231020 09:18:21 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:21 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:21 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:21 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:21 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:21 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:21 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:21 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:22 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:22 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:24 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:24 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:24 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:24 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:24 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:24 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:24 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:24 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:24 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:24 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:24 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:24 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:24 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:24 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:24 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:24 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:24 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:24 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:24 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:24 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:24 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:24 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:24 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:24 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:27 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:27 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:27 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:27 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:27 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:27 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:27 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:27 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:27 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:27 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:27 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:27 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:27 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:27 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:27 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:27 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:27 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:27 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:27 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:27 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:27 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:27 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:27 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:27 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:30 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:30 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:30 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:30 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:30 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:30 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:30 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:30 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:30 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:30 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:30 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:30 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:30 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:30 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:30 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:30 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:30 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:30 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:30 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:30 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:30 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:30 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:30 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:30 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:32 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:32 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:32 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:32 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:32 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:32 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:32 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:32 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:33 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:33 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:33 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:33 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:33 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:33 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:33 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:33 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:33 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:33 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:33 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:33 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:33 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:33 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:33 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:33 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:35 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:35 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:35 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:35 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:35 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:35 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:35 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:35 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:35 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:35 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:35 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:35 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:35 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:35 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:35 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:35 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:36 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:36 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:36 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:36 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:36 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:36 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:36 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:36 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:38 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:38 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:38 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:38 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:38 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:38 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:38 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:38 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:38 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:38 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:38 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:38 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:38 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:38 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
[I 231020 09:18:38 metar-v4:1630] HIGH WINDS-> KMOT Winds = 19 
[I 231020 09:18:38 metar-v4:1630] HIGH WINDS-> KBIL Winds = 15 
[I 231020 09:18:38 metar-v4:1630] HIGH WINDS-> KTLH Winds = 18 
[I 231020 09:18:38 metar-v4:1630] HIGH WINDS-> KEVV Winds = 15 
[I 231020 09:18:38 metar-v4:1630] HIGH WINDS-> KSYR Winds = 16 
[I 231020 09:18:38 metar-v4:1630] HIGH WINDS-> KPVD Winds = 15 
[I 231020 09:18:38 metar-v4:1630] HIGH WINDS-> KIND Winds = 15 
[I 231020 09:18:38 metar-v4:1630] HIGH WINDS-> KRAP Winds = 17 
